========== 热力图评估汇总（按 angle, pitch 组合）==========
方法数量：9

【方法：active】
组合 (angle0, pitch5)：AP@0.5 = 0.7860
组合 (angle20, pitch5)：AP@0.5 = 0.7463
组合 (angle40, pitch5)：AP@0.5 = 0.7949
组合 (angle60, pitch5)：AP@0.5 = 0.8482
组合 (angle80, pitch5)：AP@0.5 = 0.7871
组合 (angle100, pitch5)：AP@0.5 = 0.7724
组合 (angle120, pitch5)：AP@0.5 = 0.7826
组合 (angle140, pitch5)：AP@0.5 = 0.8187
组合 (angle160, pitch5)：AP@0.5 = 0.7300
组合 (angle180, pitch5)：AP@0.5 = 0.8041
组合 (angle200, pitch5)：AP@0.5 = 0.7144
组合 (angle220, pitch5)：AP@0.5 = 0.7490
组合 (angle240, pitch5)：AP@0.5 = 0.3825
组合 (angle260, pitch5)：AP@0.5 = 0.4217
组合 (angle280, pitch5)：AP@0.5 = 0.5961
组合 (angle300, pitch5)：AP@0.5 = 0.2959
组合 (angle320, pitch5)：AP@0.5 = 0.4507
组合 (angle340, pitch5)：AP@0.5 = 0.7956
组合 (angle0, pitch10)：AP@0.5 = 0.7853
组合 (angle20, pitch10)：AP@0.5 = 0.7800
组合 (angle40, pitch10)：AP@0.5 = 0.7192
组合 (angle60, pitch10)：AP@0.5 = 0.7779
组合 (angle80, pitch10)：AP@0.5 = 0.6363
组合 (angle100, pitch10)：AP@0.5 = 0.5518
组合 (angle120, pitch10)：AP@0.5 = 0.8639
组合 (angle140, pitch10)：AP@0.5 = 0.6841
组合 (angle160, pitch10)：AP@0.5 = 0.6925
组合 (angle180, pitch10)：AP@0.5 = 0.6794
组合 (angle200, pitch10)：AP@0.5 = 0.7341
组合 (angle220, pitch10)：AP@0.5 = 0.7779
组合 (angle240, pitch10)：AP@0.5 = 0.3665
组合 (angle260, pitch10)：AP@0.5 = 0.2793
组合 (angle280, pitch10)：AP@0.5 = 0.4442
组合 (angle300, pitch10)：AP@0.5 = 0.1366
组合 (angle320, pitch10)：AP@0.5 = 0.3870
组合 (angle340, pitch10)：AP@0.5 = 0.7188
组合 (angle0, pitch20)：AP@0.5 = 0.6050
组合 (angle20, pitch20)：AP@0.5 = 0.5223
组合 (angle40, pitch20)：AP@0.5 = 0.5518
组合 (angle60, pitch20)：AP@0.5 = 0.6560
组合 (angle80, pitch20)：AP@0.5 = 0.3052
组合 (angle100, pitch20)：AP@0.5 = 0.3854
组合 (angle120, pitch20)：AP@0.5 = 0.7208
组合 (angle140, pitch20)：AP@0.5 = 0.3902
组合 (angle160, pitch20)：AP@0.5 = 0.1635
组合 (angle180, pitch20)：AP@0.5 = 0.3630
组合 (angle200, pitch20)：AP@0.5 = 0.5046
组合 (angle220, pitch20)：AP@0.5 = 0.8029
组合 (angle240, pitch20)：AP@0.5 = 0.2302
组合 (angle260, pitch20)：AP@0.5 = 0.0630
组合 (angle280, pitch20)：AP@0.5 = 0.0735
组合 (angle300, pitch20)：AP@0.5 = 0.0734
组合 (angle320, pitch20)：AP@0.5 = 0.2462
组合 (angle340, pitch20)：AP@0.5 = 0.6230
组合 (angle0, pitch30)：AP@0.5 = 0.2681
组合 (angle20, pitch30)：AP@0.5 = 0.2938
组合 (angle40, pitch30)：AP@0.5 = 0.3247
组合 (angle60, pitch30)：AP@0.5 = 0.3471
组合 (angle80, pitch30)：AP@0.5 = 0.1491
组合 (angle100, pitch30)：AP@0.5 = 0.2387
组合 (angle120, pitch30)：AP@0.5 = 0.2801
组合 (angle140, pitch30)：AP@0.5 = 0.1449
组合 (angle160, pitch30)：AP@0.5 = 0.1041
组合 (angle180, pitch30)：AP@0.5 = 0.0755
组合 (angle200, pitch30)：AP@0.5 = 0.2231
组合 (angle220, pitch30)：AP@0.5 = 0.3615
组合 (angle240, pitch30)：AP@0.5 = 0.0915
组合 (angle260, pitch30)：AP@0.5 = 0.0404
组合 (angle280, pitch30)：AP@0.5 = 0.0389
组合 (angle300, pitch30)：AP@0.5 = 0.0348
组合 (angle320, pitch30)：AP@0.5 = 0.1644
组合 (angle340, pitch30)：AP@0.5 = 0.3717
组合 (angle0, pitch40)：AP@0.5 = 0.3185
组合 (angle20, pitch40)：AP@0.5 = 0.3151
组合 (angle40, pitch40)：AP@0.5 = 0.2303
组合 (angle60, pitch40)：AP@0.5 = 0.2931
组合 (angle80, pitch40)：AP@0.5 = 0.2142
组合 (angle100, pitch40)：AP@0.5 = 0.2231
组合 (angle120, pitch40)：AP@0.5 = 0.1845
组合 (angle140, pitch40)：AP@0.5 = 0.0591
组合 (angle160, pitch40)：AP@0.5 = 0.0407
组合 (angle180, pitch40)：AP@0.5 = 0.0566
组合 (angle200, pitch40)：AP@0.5 = 0.0770
组合 (angle220, pitch40)：AP@0.5 = 0.3640
组合 (angle240, pitch40)：AP@0.5 = 0.0779
组合 (angle260, pitch40)：AP@0.5 = 0.0236
组合 (angle280, pitch40)：AP@0.5 = 0.0174
组合 (angle300, pitch40)：AP@0.5 = 0.0313
组合 (angle320, pitch40)：AP@0.5 = 0.1446
组合 (angle340, pitch40)：AP@0.5 = 0.1525
组合 (angle0, pitch50)：AP@0.5 = 0.2328
组合 (angle20, pitch50)：AP@0.5 = 0.2521
组合 (angle40, pitch50)：AP@0.5 = 0.3032
组合 (angle60, pitch50)：AP@0.5 = 0.2707
组合 (angle80, pitch50)：AP@0.5 = 0.2255
组合 (angle100, pitch50)：AP@0.5 = 0.2287
组合 (angle120, pitch50)：AP@0.5 = 0.3765
组合 (angle140, pitch50)：AP@0.5 = 0.1998
组合 (angle160, pitch50)：AP@0.5 = 0.3105
组合 (angle180, pitch50)：AP@0.5 = 0.2083
组合 (angle200, pitch50)：AP@0.5 = 0.3134
组合 (angle220, pitch50)：AP@0.5 = 0.3204
组合 (angle240, pitch50)：AP@0.5 = 0.0856
组合 (angle260, pitch50)：AP@0.5 = 0.0503
组合 (angle280, pitch50)：AP@0.5 = 0.0420
组合 (angle300, pitch50)：AP@0.5 = 0.1827
组合 (angle320, pitch50)：AP@0.5 = 0.1898
组合 (angle340, pitch50)：AP@0.5 = 0.2001
组合 (angle0, pitch60)：AP@0.5 = 0.2449
组合 (angle20, pitch60)：AP@0.5 = 0.1968
组合 (angle40, pitch60)：AP@0.5 = 0.2438
组合 (angle60, pitch60)：AP@0.5 = 0.2481
组合 (angle80, pitch60)：AP@0.5 = 0.1770
组合 (angle100, pitch60)：AP@0.5 = 0.1682
组合 (angle120, pitch60)：AP@0.5 = 0.2266
组合 (angle140, pitch60)：AP@0.5 = 0.2573
组合 (angle160, pitch60)：AP@0.5 = 0.2467
组合 (angle180, pitch60)：AP@0.5 = 0.1818
组合 (angle200, pitch60)：AP@0.5 = 0.2325
组合 (angle220, pitch60)：AP@0.5 = 0.3063
组合 (angle240, pitch60)：AP@0.5 = 0.2460
组合 (angle260, pitch60)：AP@0.5 = 0.0909
组合 (angle280, pitch60)：AP@0.5 = 0.1308
组合 (angle300, pitch60)：AP@0.5 = 0.1818
组合 (angle320, pitch60)：AP@0.5 = 0.2476
组合 (angle340, pitch60)：AP@0.5 = 0.2476
组合 (angle0, pitch70)：AP@0.5 = 0.2166
组合 (angle20, pitch70)：AP@0.5 = 0.1553
组合 (angle40, pitch70)：AP@0.5 = 0.1621
组合 (angle60, pitch70)：AP@0.5 = 0.1688
组合 (angle80, pitch70)：AP@0.5 = 0.1364
组合 (angle100, pitch70)：AP@0.5 = 0.0478
组合 (angle120, pitch70)：AP@0.5 = 0.1326
组合 (angle140, pitch70)：AP@0.5 = 0.1780
组合 (angle160, pitch70)：AP@0.5 = 0.1765
组合 (angle180, pitch70)：AP@0.5 = 0.1818
组合 (angle200, pitch70)：AP@0.5 = 0.1660
组合 (angle220, pitch70)：AP@0.5 = 0.1818
组合 (angle240, pitch70)：AP@0.5 = 0.1527
组合 (angle260, pitch70)：AP@0.5 = 0.0909
