========== PHY_IMGS AP@0.5 汇总 ==========

【每个文件夹 AP@0.5】
active1: AP@0.5=0.2268（样本数=387）
active2: AP@0.5=0.2262（样本数=404）
active3: AP@0.5=0.3609（样本数=322）
dta1: AP@0.5=0.7455（样本数=342）
dta2: AP@0.5=0.7504（样本数=353）
dta3: AP@0.5=0.8790（样本数=342）
gcac1: AP@0.5=0.3023（样本数=309）
gcac2: AP@0.5=0.1968（样本数=380）
gcac3: AP@0.5=0.4225（样本数=316）
grac1: AP@0.5=0.2752（样本数=313）
grac2: AP@0.5=0.3305（样本数=367）
grac3: AP@0.5=0.4857（样本数=343）
ori1: AP@0.5=0.8863（样本数=384）
ori2: AP@0.5=0.8797（样本数=378）
ori3: AP@0.5=0.9091（样本数=353）
rauca1: AP@0.5=0.0559（样本数=342）
rauca2: AP@0.5=0.1556（样本数=367）
rauca3: AP@0.5=0.2652（样本数=342）
rpga1: AP@0.5=0.8143（样本数=366）
rpga2: AP@0.5=0.7434（样本数=323）
rpga3: AP@0.5=0.9040（样本数=404）

【每个方法 AP@0.5（包含 1/2/3）】
active: AP@0.5=0.2497（样本数=1113）
dta: AP@0.5=0.7717（样本数=1037）
gcac: AP@0.5=0.3010（样本数=1005）
grac: AP@0.5=0.3654（样本数=1023）
ori: AP@0.5=0.8986（样本数=1115）
rauca: AP@0.5=0.1605（样本数=1051）
rpga: AP@0.5=0.8089（样本数=1093）

【每个方法 AP@0.5（排除 *2）】
active: AP@0.5=0.2657（样本数=709）
dta: AP@0.5=0.7894（样本数=684）
gcac: AP@0.5=0.3927（样本数=625）
grac: AP@0.5=0.3814（样本数=656）
ori: AP@0.5=0.9053（样本数=737）
rauca: AP@0.5=0.1660（样本数=684）
rpga: AP@0.5=0.8948（样本数=770）
