run_method,pitch10,pitch20,pitch30,pitch40,pitch5,pitch50,pitch60,pitch70,pitch80,pitch89
evaluation_results_mw2::active,0.5139,0.2993,0.0905,0.0761,0.5905,0.1794,0.2181,0.1488,0.0909,0.0598
evaluation_results_mw2::dta,0.557,0.4411,0.2993,0.2951,0.543,0.4268,0.4032,0.3061,0.2182,0.1933
evaluation_results_mw2::fca,0.7558,0.6985,0.5606,0.5057,0.7486,0.5514,0.4768,0.3961,0.3,0.2346
evaluation_results_mw2::ori,0.8037,0.7831,0.7584,0.7572,0.7941,0.7893,0.7034,0.6062,0.4274,0.3395
evaluation_results_mw2::rauca,0.3987,0.2217,0.0989,0.0984,0.4565,0.2148,0.2289,0.1605,0.1489,0.1255
evaluation_results_mw2::raucae2e,0.1993,0.132,0.0245,0.0247,0.36,0.0836,0.1598,0.1493,0.0909,0.0734
evaluation_results_mw3::das,0.7899,0.7675,0.7382,0.7488,0.7775,0.8076,0.7437,0.599,0.4059,0.3142
evaluation_results_mw3::gcac,0.2548,0.1344,0.0596,0.0557,0.4123,0.1499,0.2296,0.2155,0.1556,0.1143
evaluation_results_mw3::grac,0.3821,0.2547,0.154,0.0788,0.4737,0.2076,0.2396,0.2251,0.169,0.1581
evaluation_results_rpga2::1220_195003_Beijing,0.1464,0.0688,0.0143,0.0176,0.2734,0.0594,0.1429,0.1256,0.0909,0.0586
