run_method,pitch10,pitch20,pitch30,pitch40,pitch5,pitch50,pitch60,pitch70,pitch80,pitch89
evaluation_results_mw2::active,0.2959,0.549,0.7761,0.9021,0.2497,0.9673,0.9894,0.996,0.9997,0.9997
evaluation_results_mw2::dta,0.2469,0.3405,0.5345,0.6981,0.3075,0.8512,0.9461,0.9841,0.9974,0.999
evaluation_results_mw2::fca,0.065,0.0949,0.2527,0.4663,0.0976,0.671,0.8287,0.9071,0.9692,0.9828
evaluation_results_mw2::ori,0.0133,0.0221,0.0576,0.1832,0.0476,0.3859,0.6462,0.8476,0.9554,0.9749
evaluation_results_mw2::rauca,0.451,0.5983,0.7559,0.8505,0.4483,0.9315,0.9716,0.9871,0.9954,0.9974
evaluation_results_mw2::raucae2e,0.667,0.835,0.9051,0.9537,0.5694,0.9808,0.994,0.999,1.0,1.0
evaluation_results_mw3::das,0.0384,0.0221,0.0768,0.1991,0.0711,0.3479,0.5853,0.79,0.9517,0.9821
evaluation_results_mw3::gcac,0.5922,0.7194,0.834,0.9306,0.5007,0.9815,0.9894,0.994,0.9983,0.9997
evaluation_results_mw3::grac,0.4745,0.631,0.7754,0.8694,0.435,0.9537,0.9812,0.9851,0.9914,0.9967
evaluation_results_rpga2::R-PGA,0.7377,0.8533,0.9517,0.9752,0.6697,0.9934,0.998,0.9993,1.0,1.0
