run_method,distance10,distance15,distance20,distance5
evaluation_results_mw2::active,0.2251,0.2022,0.1802,0.2234
evaluation_results_mw2::dta,0.3347,0.331,0.2779,0.1585
evaluation_results_mw2::fca,0.4616,0.4528,0.4328,0.381
evaluation_results_mw2::ori,0.5939,0.5735,0.5489,0.5304
evaluation_results_mw2::rauca,0.2023,0.1798,0.1881,0.1581
evaluation_results_mw2::raucae2e,0.0965,0.1244,0.0752,0.1422
evaluation_results_mw3::das,0.5991,0.5839,0.5689,0.5125
evaluation_results_mw3::gcac,0.1714,0.1397,0.0717,0.1492
evaluation_results_mw3::grac,0.1923,0.1758,0.2072,0.1901
evaluation_results_rpga2::1220_195003_Beijing,0.0366,0.1184,0.1181,0.0584
