run_method,distance10,distance15,distance20,distance5
evaluation_results_mw2::active,0.7524,0.7741,0.7968,0.781
evaluation_results_mw2::dta,0.6264,0.6223,0.6746,0.8534
evaluation_results_mw2::fca,0.5049,0.5061,0.5089,0.6353
evaluation_results_mw2::ori,0.3996,0.4011,0.3838,0.4903
evaluation_results_mw2::rauca,0.7808,0.7995,0.7989,0.8269
evaluation_results_mw2::raucae2e,0.8661,0.8927,0.9059,0.9038
evaluation_results_mw3::das,0.3902,0.3797,0.3603,0.5146
evaluation_results_mw3::gcac,0.8317,0.8657,0.8911,0.8378
evaluation_results_mw3::grac,0.7956,0.8129,0.7798,0.8589
evaluation_results_rpga2::1220_195003_Beijing,0.9313,0.9205,0.9171,0.9274
