table_id,table_title,variable_type,variable_value,method,mean_asr,mean_ap50,successful,total
3,天气 weather,weather,Dark,active,0.8029,0.2002,3985,4963
3,天气 weather,weather,Foggy,active,0.7874,0.2187,3908,4963
3,天气 weather,weather,Golden,active,0.8072,0.1905,4006,4963
3,天气 weather,weather,HardNoon,active,0.7064,0.2446,3506,4963
3,天气 weather,weather,Normal,active,0.7671,0.2027,3807,4963
3,天气 weather,weather,Overcast,active,0.7844,0.1897,3893,4963
3,天气 weather,weather,Dark,dta,0.7502,0.254,3723,4963
3,天气 weather,weather,Foggy,dta,0.7256,0.2867,3596,4956
3,天气 weather,weather,Golden,dta,0.7487,0.2491,3716,4963
3,天气 weather,weather,HardNoon,dta,0.5966,0.3395,2961,4963
3,天气 weather,weather,Normal,dta,0.6621,0.2924,3286,4963
3,天气 weather,weather,Overcast,dta,0.6861,0.279,3405,4963
3,天气 weather,weather,Dark,fca,0.6647,0.3247,3299,4963
3,天气 weather,weather,Foggy,fca,0.5664,0.426,2811,4963
3,天气 weather,weather,Golden,fca,0.6087,0.3671,3021,4963
3,天气 weather,weather,HardNoon,fca,0.4274,0.5191,2121,4963
3,天气 weather,weather,Normal,fca,0.466,0.4808,2313,4963
3,天气 weather,weather,Overcast,fca,0.5025,0.4545,2494,4963
3,天气 weather,weather,Dark,ori,0.4735,0.5286,2350,4963
3,天气 weather,weather,Foggy,ori,0.4106,0.595,2038,4963
3,天气 weather,weather,Golden,ori,0.4157,0.5721,2063,4963
3,天气 weather,weather,HardNoon,ori,0.3996,0.5618,1983,4963
3,天气 weather,weather,Normal,ori,0.407,0.5582,2020,4963
3,天气 weather,weather,Overcast,ori,0.4084,0.564,2027,4963
3,天气 weather,weather,Dark,rauca,0.8547,0.1673,4242,4963
3,天气 weather,weather,Foggy,rauca,0.8287,0.1939,4113,4963
3,天气 weather,weather,Golden,rauca,0.8352,0.1764,4145,4963
3,天气 weather,weather,HardNoon,rauca,0.7139,0.2412,3543,4963
3,天气 weather,weather,Normal,rauca,0.7776,0.201,3859,4963
3,天气 weather,weather,Overcast,rauca,0.7991,0.1839,3966,4963
3,天气 weather,weather,Dark,raucae2e,0.9369,0.0389,4650,4963
3,天气 weather,weather,Foggy,raucae2e,0.9208,0.0586,4570,4963
3,天气 weather,weather,Golden,raucae2e,0.9202,0.0653,4567,4963
3,天气 weather,weather,HardNoon,raucae2e,0.8356,0.1546,4147,4963
3,天气 weather,weather,Normal,raucae2e,0.865,0.1369,4293,4963
3,天气 weather,weather,Overcast,raucae2e,0.8735,0.0689,4335,4963
