run_method,Dark,Foggy,Golden,HardNoon,Normal,Overcast
evaluation_results_mw2::active,0.2002,0.2187,0.1905,0.2446,0.2027,0.1897
evaluation_results_mw2::dta,0.254,0.2867,0.2491,0.3395,0.2924,0.279
evaluation_results_mw2::fca,0.3247,0.426,0.3671,0.5191,0.4808,0.4545
evaluation_results_mw2::ori,0.5286,0.595,0.5721,0.5618,0.5582,0.564
evaluation_results_mw2::rauca,0.1673,0.1939,0.1764,0.2412,0.201,0.1839
evaluation_results_mw2::raucae2e,0.0389,0.0586,0.0653,0.1546,0.1369,0.0689
evaluation_results_mw3::das,0.5378,0.5817,0.5626,0.5822,0.5578,0.5613
evaluation_results_mw3::gcac,0.047,0.1168,0.0685,0.2098,0.1697,0.1634
evaluation_results_mw3::grac,0.1419,0.1834,0.1579,0.2552,0.2079,0.1505
evaluation_results_rpga2::1220_195003_Beijing,0.1246,0.0327,0.05,0.0478,0.0401,0.0451
