run_method,Dark,Foggy,Golden,HardNoon,Normal,Overcast
evaluation_results_mw2::active,0.8029,0.7874,0.8072,0.7064,0.7671,0.7844
evaluation_results_mw2::dta,0.7502,0.7256,0.7487,0.5966,0.6621,0.6861
evaluation_results_mw2::fca,0.6647,0.5664,0.6087,0.4274,0.466,0.5025
evaluation_results_mw2::ori,0.4735,0.4106,0.4157,0.3996,0.407,0.4084
evaluation_results_mw2::rauca,0.8547,0.8287,0.8352,0.7139,0.7776,0.7991
evaluation_results_mw2::raucae2e,0.9369,0.9208,0.9202,0.8356,0.865,0.8735
evaluation_results_mw3::das,0.459,0.4213,0.4173,0.374,0.3973,0.4022
evaluation_results_mw3::gcac,0.9281,0.8759,0.8978,0.7661,0.8261,0.8434
evaluation_results_mw3::grac,0.8892,0.8414,0.8642,0.703,0.7737,0.8009
evaluation_results_rpga2::R-PGA,0.9216,0.9574,0.9235,0.9001,0.9233,0.919
