run_method,d-detr,detr,faster-rcnn,mask-rcnn,pvt,yolov3,yolox
evaluation_results_mw2::active,0.2175,0.1313,0.146,0.1841,0.416,0.1934,0.3749
evaluation_results_mw2::dta,0.2924,0.1191,0.2292,0.3143,0.56,0.3462,0.4069
evaluation_results_mw2::fca,0.407,0.3288,0.3511,0.4035,0.6875,0.4982,0.655
evaluation_results_mw2::ori,0.5877,0.5065,0.5712,0.627,0.7312,0.5251,0.7395
evaluation_results_mw2::rauca,0.1059,0.0945,0.1474,0.1725,0.5081,0.1869,0.3643
evaluation_results_mw2::raucae2e,0.0389,0.092,0.0256,0.1305,0.4041,0.1121,0.1303
evaluation_results_mw3::das,0.5692,0.5082,0.566,0.6184,0.7724,0.5527,0.7194
evaluation_results_mw3::gcac,0.0949,0.0927,0.1216,0.1614,0.3556,0.1207,0.3084
evaluation_results_mw3::grac,0.1052,0.1022,0.1389,0.1888,0.4563,0.1515,0.3695
evaluation_results_rpga2::1220_195003_Beijing,0.037,0.0918,0.0397,0.0682,0.2762,0.0508,0.0976
