run_method,d-detr,detr,faster-rcnn,mask-rcnn,pvt,yolov3,yolox
evaluation_results_mw2::active,0.8425,0.8249,0.8477,0.7811,0.681,0.8181,0.6361
evaluation_results_mw2::dta,0.7621,0.8608,0.751,0.6617,0.5638,0.6694,0.5953
evaluation_results_mw2::fca,0.669,0.6392,0.6422,0.5877,0.3789,0.5155,0.3425
evaluation_results_mw2::ori,0.4899,0.4784,0.4572,0.4133,0.3571,0.4803,0.2579
evaluation_results_mw2::rauca,0.9523,0.9203,0.8865,0.822,0.5853,0.8108,0.6335
evaluation_results_mw2::raucae2e,0.9756,0.9473,0.9389,0.8773,0.7191,0.9177,0.8681
evaluation_results_mw3::das,0.5362,0.4502,0.4577,0.4017,0.295,0.4629,0.2793
evaluation_results_mw3::gcac,0.9525,0.9344,0.9102,0.8272,0.7673,0.9053,0.6968
evaluation_results_mw3::grac,0.9452,0.898,0.8655,0.7967,0.674,0.8648,0.6403
evaluation_results_rpga2::R-PGA,0.9894,0.951,0.9426,0.8743,0.8164,0.925,0.9703
